brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km,offer_description
audi,Audi R8,black,08/2017,2017,121800,449.0,610.0,Automatic,Petrol,12.3,287 g/km,84800.0,5.2 FSI *LASER+EDIT+KERAMIK+B&O* *CARBON+B&W*
aston-martin,Aston Martin Vanquish,white,06/2017,2017,269007,443.0,602.0,Automatic,Petrol,12.8,298 g/km,23800.0,Volante S
land-rover,Land Rover Defender,grey,02/2023,2023,121830,221.0,300.0,Automatic,Diesel,9.0,246 g/km,500.0,130 D300 AWD First Edition
ferrari,Ferrari 599,black,07/2011,2011,209900,456.0,620.0,Semi-automatic,Petrol,21.3,490 g/km,25950.0,"GTB Fiorano F1 ""HGTE"""
audi,Audi RS4,red,02/2023,2023,104390,331.0,450.0,Automatic,Petrol,8.8,201 g/km,4500.0,331(450) kW(PS) tiptronic
ferrari,Ferrari 812,grey,08/2022,2022,549500,588.0,799.0,Automatic,Petrol,5.1,119 g/km,16250.0,GTS *CARBON (7x)*Pass. Display*Racing Seats*
bmw,BMW X5 M,grey,03/2021,2021,118000,460.0,625.0,Automatic,Petrol,13.3,303 g/km,52000.0,Competition
aston-martin,Aston Martin Vanquish,black,02/2015,2015,179900,421.0,572.0,Automatic,Petrol,14.4,335 g/km,19056.0,Volante Volante B&O 1.000 Watt
ferrari,Ferrari SF90 Stradale,black,02/2022,2022,575900,735.0,999.0,Automatic,Petrol,6.5,169 g/km,400.0,Assetto Fiorano
land-rover,Land Rover Range Rover,grey,11/2020,2020,109700,257.0,349.0,Automatic,Diesel,5.1,220 g/km,54241.0,D350 Fifty 1 of 1970 MERIDIAN LED
ferrari,Ferrari 488,red,05/2018,2018,233900,493.0,670.0,Semi-automatic,Petrol,5.1,119 g/km,21500.0,GTB Ferrari Singen
maserati,Maserati GranTurismo,blue,08/2020,2020,150000,338.0,460.0,Automatic,Petrol,14.3,331 g/km,50.0,Sport*Sonderleasing*
lamborghini,Lamborghini Urus,blue,05/2021,2021,309899,478.0,650.0,Automatic,Petrol,12.7,325 g/km,33950.0,4.0 Carbon Ad Personam 4 Seat Akrapovic TV
aston-martin,Aston Martin DB11,blue,04/2018,2018,124990,375.0,510.0,Automatic,Petrol,9.9,230 g/km,26661.0,4.0 V8 Coupé
ferrari,Ferrari GTC4 Lusso,red,03/2018,2018,219900,507.0,689.0,Automatic,Petrol,15.3,350 g/km,45500.0,GTC4 Lusso 6.3 V12 DCT -
aston-martin,Aston Martin Vantage,silver,06/2017,2017,300000,420.0,571.0,Manual,Petrol,17.0,119 g/km,9750.0,Handschalter - 7-Gang - V12 S Roadster
audi,Audi e-tron GT,black,12/2022,2022,102999,350.0,476.0,Automatic,Electric,0.0,452 km Reichweite,9999.0,Dynamikpaket plus Garagentoröf
bentley,Bentley Brooklands,grey,05/2010,2010,199990,395.0,537.0,Automatic,Petrol,19.5,465 g/km,63815.0,| LIMITIERT 550 STK. | SCHECKHEFT
lamborghini,Lamborghini Murciélago,yellow,10/2001,2001,269800,426.0,579.0,Manual,Petrol,21.5,500 g/km,138571.0,Murcielago Manual
lamborghini,Lamborghini Gallardo,black,07/2014,2014,189900,412.0,560.0,Automatic,Petrol,13.7,325 g/km,23751.0,LP560-4 E-Gear Bicolore
ferrari,Ferrari 458,white,05/2012,2012,198900,419.0,570.0,Automatic,Petrol,13.3,307 g/km,36315.0,Italia  Einmalig.Extras für 150000€ ab Werk
bmw,BMW X7,blue,11/2022,2022,137900,390.0,530.0,Automatic,Petrol,5.1,119 g/km,14160.0,M60 i STANDHZG 7SITZ SPABGA HUD B&W PANO eAHK
ferrari,Ferrari 458,white,02/2014,2014,219900,419.0,570.0,Automatic,Petrol,5.1,119 g/km,29800.0,Italia Spider Lift Keramik  BRD U-frei
bentley,Bentley Continental GTC,black,06/2020,2020,219000,404.0,549.0,Automatic,Petrol,5.1,119 g/km,25000.0,V8 Mulliner *sitzbelü*CAM
maserati,Maserati Ghibli,white,05/2021,2021,109500,427.0,581.0,Automatic,Petrol,12.2,279 g/km,15564.0,TROFEO - Modelljahr 2021
aston-martin,Aston Martin Vantage,grey,11/2018,2018,112000,375.0,510.0,Automatic,Petrol,10.5,245 g/km,50900.0,V8 Vantage 510 PS
bmw,BMW X6,bronze,05/2022,2022,122330,250.0,340.0,Automatic,Diesel,7.1,187 g/km,13100.0,xDrive40d M Sport Sky Lounge TV Night Vis B&W
audi,Audi,black,05/2022,2022,139920,440.0,598.0,Automatic,Electric,0.0,433 km Reichweite,6000.0,RS quattro/Laser/Assist+/Pano/RS rot
ferrari,Ferrari F8 Spider,red,04/2022,2022,368800,530.0,721.0,Automatic,Petrol,11.4,260 g/km,3400.0,LIFT  / RACING SEATS / LED LENKRAD
ferrari,Ferrari 488,grey,10/2020,2020,659000,530.0,721.0,Automatic,Petrol,11.5,263 g/km,6220.0,Spider   ATELIER /CARBON/MATT-LACK
bentley,Bentley Bentayga,black,10/2020,2020,188888,330.0,449.0,Automatic,Hybrid,0.0,0,40900.0,Hybrid MULLINER / BLACKLINE / 4-SITZER
ferrari,Ferrari 488,red,02/2018,2018,305900,493.0,670.0,Automatic,Petrol,5.1,119 g/km,39900.0,"2. Hand, unfallfrei, DE"
ferrari,Ferrari 550,grey,09/1997,1997,129500,357.0,485.0,Manual,Petrol,5.1,119 g/km,63417.0,Maranello  Top Original Zustand Sammler
land-rover,Land Rover Defender,grey,05/2023,2023,139890,386.0,525.0,Automatic,Petrol,12.8,290 g/km,7.0,110 V8 Carpathian Edition AHK PANO
bentley,Bentley Bentayga,green,07/2020,2020,155555,330.0,449.0,Automatic,Hybrid,3.6,82 g/km,39900.0,Hybrid 4-SEATER / MULLINER / TOURING
maserati,Maserati Levante,grey,11/2021,2021,132900,427.0,581.0,Automatic,Petrol,14.6,330 g/km,11295.0,"Trofeo MY22,Carbon,Assist*MASERATI KÖLN*"
ferrari,Ferrari California,red,12/2015,2015,154900,412.0,560.0,Automatic,Petrol,10.5,250 g/km,26900.0,T *4-Sitzer*dt. Auto*Approved*
bentley,Bentley Continental GT,black,10/2015,2015,117500,388.0,528.0,Automatic,Petrol,10.7,250 g/km,35000.0,V8 S -35tkm -NAIM - MULLINER-ACC
ferrari,Ferrari California,red,06/2010,2010,130000,338.0,460.0,Automatic,Petrol,5.1,119 g/km,43000.0,*Deutsches Fahrzeug*Service gepflegt*
ferrari,Ferrari FF,black,04/2015,2015,149900,486.0,661.0,Automatic,Petrol,10.0,380 g/km,59895.0,Tailor made
bmw,BMW M4,white,02/2017,2017,139888,368.0,500.0,Automatic,Petrol,5.1,119 g/km,4662.0,GTS / DTM CHAMPIONS EDITION
lamborghini,Lamborghini Huracan,orange,04/2018,2018,269900,471.0,640.0,Automatic,Petrol,13.7,314 g/km,15480.0,Performante Arancio Anthaeus Ad Personam
ferrari,Ferrari F8 Spider,red,03/2021,2021,369690,530.0,721.0,Automatic,Petrol,5.1,119 g/km,6800.0,Rosso Mugello*Ferrari-Dresden*
aston-martin,Aston Martin Vanquish,black,12/2017,2017,170007,423.0,575.0,Automatic,Petrol,12.8,298 g/km,13557.0,V12 MwSt. 8-Gang Carbon German
ferrari,Ferrari Portofino,red,05/2023,2023,309980,456.0,620.0,Automatic,Petrol,10.7,245 g/km,91.0,M Neuwagen JBL MADM PDIS SurroundView
bentley,Bentley Flying Spur,silver,05/2022,2022,248591,306.0,416.0,Automatic,Hybrid,3.3,0,1450.0,Hybrid Mulliner/Touring/Comfort/22
bentley,Bentley Flying Spur,blue,12/2022,2022,248450,400.0,544.0,Automatic,Hybrid,3.2,73 g/km,2930.0,Hybrid * MULLINER * PANORAMA * NAIM *
land-rover,Land Rover Range Rover Sport,black,05/2023,2023,139900,221.0,300.0,Automatic,Diesel,8.1,211 g/km,2000.0,"D300 AWD Dynamic HSE Pano/22"""
bentley,Bentley Azure,black,07/2008,2008,124900,336.0,457.0,Automatic,Petrol,19.5,465 g/km,29900.0,2 Mulliner Cabrio aus 2008
ferrari,Ferrari 458,red,04/2014,2014,255900,419.0,570.0,Automatic,Petrol,13.3,307 g/km,9850.0,Spider*Karbon*LED*Lift*Kamera*JBL*AFS*
bmw,BMW M8,blue,08/2020,2020,114990,460.0,625.0,Automatic,Petrol,10.8,246 g/km,39000.0,Cabrio Compet. *B&W* M Drivers Package*1.HAND
bmw,BMW 760,black,10/2020,2020,149890,430.0,585.0,Automatic,Petrol,12.4,313 g/km,24631.0,xDrive Executive Lounge* Fonddisplays*
honda,Honda NSX,white,04/2018,2018,249000,373.0,507.0,Automatic,Hybrid,10.0,228 g/km,12150.0,Hybrid 3.5
ferrari,Ferrari,black,01/2023,2023,508889,735.0,999.0,Automatic,Hybrid,12.3,280 g/km,75.0,Stradale Racing Seats ADAS Karbon LED
audi,Audi R8,yellow,11/2021,2021,199985,456.0,620.0,Automatic,Petrol,13.0,299 g/km,200.0,Coupe V10 quattro performance UPE260T*LASER*K
bentley,Bentley Azure,white,06/2008,2008,155888,336.0,457.0,Automatic,Petrol,5.1,119 g/km,42800.0,Cabrio KLASSIKER Service NEU! 1 von 716 weltweit!
maserati,Maserati GranCabrio,grey,03/2019,2019,149777,338.0,460.0,Automatic,Petrol,14.5,328 g/km,4850.0,Sport
bentley,Bentley Flying Spur,gold,05/2022,2022,239870,400.0,544.0,Automatic,Hybrid,3.2,73 g/km,4550.0,Hybrid *Mulliner*Naim*4Seat*
land-rover,Land Rover Defender,grey,02/2023,2023,146251,386.0,525.0,Automatic,Petrol,15.1,340 g/km,10.0,110 V8 Carpath.Edition P525*Matrix*VOLL*MY2023
audi,Audi RS7,red,02/2021,2021,119947,441.0,600.0,Automatic,Petrol,11.6,265 g/km,46100.0,Sportback RS-AGA DYNAMIK-PAKET PANO LASER Navi
bentley,Bentley Bentayga,silver,03/2022,2022,239900,405.0,551.0,Automatic,Petrol,12.0,272 g/km,15850.0,"S V8 Hallmark, Naim, Parking Heater,"
audi,Audi Q8 e-tron,red,04/2023,2023,105499,300.0,408.0,Manual,Electric,0.0,481 km Reichweite,3000.0,S line 55 e-tron quattro 300 kW Navi
bmw,BMW X5 M,grey,11/2021,2021,127900,460.0,625.0,Automatic,Petrol,13.3,303 g/km,6374.0,Competition Individual ´nardo grau´
maserati,Maserati GranCabrio,grey,04/2018,2018,133777,338.0,460.0,Automatic,Petrol,14.5,331 g/km,32992.0,Sport
aston-martin,Aston Martin DB11,blue,08/2019,2019,159900,375.0,510.0,Automatic,Petrol,9.9,230 g/km,1750.0,4.0 V8
lamborghini,Lamborghini Aventador,yellow,08/2015,2015,419990,515.0,700.0,Automatic,Petrol,17.2,398 g/km,500.0,Roadster LP700-4
bentley,Bentley,black,03/2018,2018,159900,522.0,710.0,Automatic,Petrol,15.7,358 g/km,33724.0,Continental Supersports 22 OF 24
ferrari,Ferrari Portofino,grey,06/2019,2019,219900,441.0,600.0,Automatic,Petrol,10.7,119 g/km,17816.0,*Carbon*MagneRide*2xKamera*JBL*Logo*
lamborghini,Lamborghini Huracan,grey,12/2022,2022,425000,478.0,650.0,Automatic,Petrol,14.7,290 g/km,50.0,"STO LIFT CARBON 20"" CAMERA MY2023"
ferrari,Ferrari SF90 Stradale,red,06/2023,2023,549980,735.0,999.0,Automatic,Hybrid,12.3,280 g/km,95.0,NEUWAGEN Racingsitze Lift LED
lamborghini,Lamborghini Aventador,green,09/2021,2021,799900,566.0,770.0,Automatic,Petrol,17.9,486 g/km,326.0,SVJ Roadster * Dreamcar*MWST
bmw,BMW M6,grey,04/2010,2010,169990,373.0,507.0,Automatic,Petrol,14.8,342 g/km,93110.0,Coupe COMPETITION EDITION*NR. 21/100*SAMMLER*
bmw,BMW M8,grey,07/2022,2022,156900,525.0,714.0,Automatic,Petrol,11.2,258 g/km,9000.0,COMP. G-POWER +Carbon-Sitze+Carbon-Bremse+
maserati,Maserati Ghibli,black,04/2023,2023,117890,316.0,430.0,Automatic,Petrol,12.0,278 g/km,60.0,Modena S Q4 NERISSIMO PAKET
bentley,Bentley Bentayga,grey,11/2021,2021,244850,405.0,551.0,Automatic,Petrol,13.0,119 g/km,9890.0,V8 S | Carbon NAIM Night-Vision 360°
ferrari,Ferrari F430,grey,01/2008,2008,119900,360.0,489.0,Automatic,Petrol,18.3,420 g/km,50700.0,Spider F1*Matt lackiert*Karbon*
bentley,Bentley Azure,black,08/2008,2008,129900,336.0,457.0,Automatic,Petrol,5.1,119 g/km,47900.0,-
audi,Audi RS6,red,11/2022,2022,129900,441.0,600.0,Automatic,Petrol,12.8,292 g/km,6500.0,441(600) kW(PS) tiptronic
audi,Audi SQ7,grey,04/2023,2023,135970,373.0,507.0,Automatic,Petrol,12.6,287 g/km,1231.0,4.0 V8 TFSI competition plus quattro - GV5
ferrari,Ferrari Portofino,red,04/2022,2022,269900,456.0,620.0,Automatic,Petrol,10.3,235 g/km,1483.0,***Ferrari Frankfurt***
bentley,Bentley Continental GTC,grey,11/2022,2022,279900,404.0,549.0,Automatic,Petrol,5.1,119 g/km,2685.0,Mulliner *SONDERMODELL *
lamborghini,Lamborghini,green,01/2008,2008,124900,401.0,545.0,Semi-automatic,Petrol,5.1,119 g/km,10000.0,"Gallardo GT3,  LP 520, by Reiter Engineering"
ferrari,Ferrari Roma,black,03/2022,2022,269900,456.0,620.0,Automatic,Petrol,11.2,255 g/km,8500.0,*FULL ADAS*Ferrari-Dresden*
bentley,Bentley,silver,10/2017,2017,172990,522.0,710.0,Automatic,Petrol,5.1,119 g/km,74600.0,"Continental Supersports CARBON,TITAN ABGAS,TRAUM"
audi,Audi Q8,white,02/2023,2023,105990,300.0,408.0,Automatic,Electric,0.0,541 km Reichweite,4100.0,e-tron Sportback 55 quattro S line *LED*PANO*KAM*N
bentley,Bentley Continental,black,03/2015,2015,129999,389.0,529.0,Automatic,Petrol,10.5,246 g/km,30500.0,GT V8 S*I HAND*8X BEREIFT*Soft Close*Keyless Go
ferrari,Ferrari GTC4 Lusso,black,07/2017,2017,259000,506.0,688.0,Automatic,Petrol,5.1,119 g/km,10306.0,"GTC4Lusso *20""Schmiedefelgen*Karbon*"
land-rover,Land Rover Range Rover,gold,06/2023,2023,211820,294.0,400.0,Automatic,Petrol,9.8,222 g/km,50.0,P400 Autobiography Gold-Air-Pro.2023
audi,Audi R8,red,10/2019,2019,189500,456.0,620.0,Automatic,Petrol,5.1,119 g/km,19900.0,R8 Spyder V10 performance 5.2 FSI quattro S tronic
bentley,Bentley Continental,black,06/2020,2020,259580,467.0,635.0,Automatic,Petrol,12.4,284 g/km,18999.0,GTC W12 *Number 1 Edition*1 of 100*
lamborghini,Lamborghini Huracan,grey,06/2019,2019,264900,471.0,640.0,Automatic,Petrol,5.1,119 g/km,17900.0,HURACÁN EVO AWD ** AD PERSONAM **
bentley,Bentley Bentayga,green,04/2020,2020,179890,330.0,449.0,Automatic,Hybrid,0.0,0,32945.0,Hybrid Sunshine+Touring+City Spec
audi,Audi R8,brown,10/2018,2018,112900,397.0,540.0,Automatic,Petrol,12.8,290 g/km,74000.0,Coupe 5.2 FSI quattro* B&O+KAMERA+VIRTUAL*
lamborghini,Lamborghini Urus,black,12/2022,2022,339000,478.0,650.0,Automatic,Petrol,12.3,292 g/km,490.0,Akrapovic+Nachtsicht+AHK+Sitzbelüftung 4.0 Bitu...
land-rover,Land Rover Defender,white,07/2022,2022,134990,386.0,525.0,Automatic,Petrol,5.1,119 g/km,18000.0,90 P525 V8
lamborghini,Lamborghini Aventador,grey,04/2017,2017,519500,552.0,751.0,Automatic,Petrol,16.0,370 g/km,12250.0,SV LP750-4 | 1 OF 600 | CARBON | LIFT|
bmw,BMW,black,12/2022,2022,104989,385.0,523.0,Automatic,Electric,0.0,0,5589.0,xDrive50 Sport SkyLounge Sitzlüftung AHK ACC+
maserati,Maserati MC20,grey,01/2022,2022,279900,463.0,630.0,Automatic,Petrol,11.5,261 g/km,1842.0,Coupe Carbondach/RacingSeats/CarbonPack
bentley,Bentley Bentayga,grey,05/2023,2023,299350,405.0,551.0,Automatic,Petrol,12.0,272 g/km,1923.0,V8 EWB *NAIM*RSE*Touring*
lamborghini,Lamborghini,green,06/2022,2022,379850,471.0,640.0,Automatic,Petrol,13.7,331 g/km,1551.0,STO Verde Turbine Matt Lift Sportsitze 
maserati,Maserati Grecale,grey,12/2022,2022,114750,390.0,530.0,Automatic,Petrol,11.2,254 g/km,4161.0,Trofeo  *Maserati in Frankfurt*
land-rover,Land Rover Defender,grey,05/2022,2022,152900,386.0,525.0,Automatic,Petrol,12.8,290 g/km,75.0,110 V8 P525 Carpathian Edition Tagzul.
ferrari,Ferrari F8 Spider,yellow,10/2020,2020,369900,530.0,721.0,Automatic,Petrol,5.1,119 g/km,4721.0,- FERRARI HAMBURG
jaguar,Jaguar F-Pace,black,02/2023,2023,109885,405.0,551.0,Automatic,Petrol,12.2,275 g/km,199.0,P550 SVR 5.0L V8!! 22'' + Meridian
bentley,Bentley Continental GTC,red,07/2019,2019,235000,467.0,635.0,Automatic,Petrol,5.1,119 g/km,55000.0,W12 First Edition Mulliner Night
bmw,BMW M8,red,07/2019,2019,112975,460.0,625.0,Automatic,Petrol,10.8,246 g/km,54250.0,Competition Cabrio Carbon-Paket B&W Keramikbremse
bentley,Bentley Continental GT,white,04/2019,2019,184900,467.0,635.0,Automatic,Petrol,12.2,308 g/km,36164.0,W12 Mulliner/Centenary/City/Naim
bentley,Bentley Bentayga,blue,12/2022,2022,283880,405.0,551.0,Automatic,Petrol,12.0,272 g/km,5000.0,V8  Azure 1st Edition/ 4seats /Long/EWB
bentley,Bentley Flying Spur,green,04/2022,2022,284900,467.0,635.0,Automatic,Petrol,14.8,119 g/km,9600.0,6.0 W12#Demonstrator#
land-rover,Land Rover Range Rover Sport,red,01/2023,2023,189950,390.0,530.0,Automatic,Petrol,11.6,270 g/km,3500.0,4.4 P530 V8 First Edition MULTIMEDIA FOND BLACK-PA
aston-martin,Aston Martin Vantage,red,09/2018,2018,130000,375.0,510.0,Automatic,Petrol,10.5,245 g/km,10500.0,Superleggera V12 Coupe
ferrari,Ferrari 812,grey,03/2021,2021,559890,585.0,795.0,Automatic,Petrol,5.1,119 g/km,3900.0,GTS Hist.- Farbe*Ferrari-Dresden*
bentley,Bentley Bentayga,blue,02/2018,2018,129890,447.0,608.0,Automatic,Petrol,13.1,296 g/km,66900.0,W12 *Touring*City*Front Seat Comfort*
bmw,BMW M3,black,03/2023,2023,144890,375.0,510.0,Automatic,Petrol,10.4,235 g/km,3000.0,Competition Touring M xDrive
bmw,BMW X5 M,grey,07/2022,2022,118900,460.0,625.0,Automatic,Petrol,13.3,303 g/km,35900.0,Competition.M-Drivers-Pack.AHK.Panod.Sitzbel.
audi,Audi RS6,black,04/2023,2023,158450,441.0,600.0,Automatic,Petrol,12.6,289 g/km,999.0,Avant Dyn+/HuD/Laser/Pano/B&Oadv/Assist/StHz/RS-Ag
bentley,Bentley Continental GT,green,10/2019,2019,199900,467.0,635.0,Automatic,Petrol,12.2,278 g/km,25020.0,W12 Mulliner Spec/Centenary Spec
ferrari,Ferrari 488,yellow,08/2017,2017,259999,493.0,670.0,Automatic,Petrol,5.1,119 g/km,37000.0,ATELIER*CARBONFUL*RACINGSEAT*CAPRISTO
audi,Audi RS6,silver,06/2022,2022,199500,544.0,740.0,Automatic,Petrol,11.6,294 g/km,9900.0,S ABT Power RS Dynamik Plus/Pano/B&O/Head-Up
lamborghini,Lamborghini Aventador,orange,01/2017,2017,369900,515.0,700.0,Manual,Petrol,16.0,370 g/km,7191.0,LP700/NOTE 1/MiuraHomage/1of50/Sammler
aston-martin,Aston Martin V8,silver,08/2018,2018,121900,375.0,510.0,Automatic,Petrol,10.3,236 g/km,52500.0,CoupéUPE 203.000€
land-rover,Land Rover Defender,white,05/2022,2022,119500,386.0,525.0,Automatic,Petrol,12.8,290 g/km,14500.0,90 V8 -PANO-AHK-525PS-STOCK-
land-rover,Land Rover Defender,brown,06/2023,2023,132760,386.0,525.0,Automatic,Petrol,12.8,290 g/km,800.0,110 5.0 P525 V8 Extended Black Pack
bentley,Bentley Bentayga,black,04/2016,2016,104900,447.0,608.0,Automatic,Petrol,13.1,296 g/km,124822.0,"W12 LaunchSpec/City+Touring/TopView/22"""
land-rover,Land Rover Range Rover,black,05/2022,2022,182500,221.0,300.0,Automatic,Diesel,5.1,119 g/km,4200.0,"SE (SWB) (L460) D 300 SE,Standheizung,LED,23“"
lamborghini,Lamborghini Huracan,green,12/2022,2022,409955,470.0,639.0,Automatic,Petrol,13.9,331 g/km,48.0,STO BRAND NEW AVAILABLE ON STOCK
ferrari,Ferrari F430,white,06/2008,2008,108900,357.0,485.0,Automatic,Petrol,13.9,119 g/km,82500.0,F1 Spider *Carbon Bremse*HiFi*Carbon Interieur*
bentley,Bentley Bentayga,blue,10/2022,2022,269780,405.0,551.0,Automatic,Petrol,12.0,272 g/km,6690.0,EWB Azure
aston-martin,Aston Martin V8,black,02/2022,2022,174900,375.0,510.0,Automatic,Petrol,9.9,244 g/km,8400.0,"DB11  Satin Jet Black, Interior Carbon"
audi,Audi RS Q8,blue,03/2023,2023,132488,441.0,600.0,Automatic,Petrol,12.1,301 g/km,10.0,RSQ8 Tour Pano Matrix Stadt B&O OptikP Nav Kam
ferrari,Ferrari F430,red,04/2006,2006,109000,357.0,485.0,Automatic,Petrol,5.1,119 g/km,72000.0,Spider*deutsches Fahrzeug
lamborghini,Lamborghini Huracan,yellow,06/2017,2017,238900,426.0,579.0,Automatic,Petrol,5.1,119 g/km,3600.0,LP580-2 Spyder 1.Hand Org.3600 Km
jaguar,Jaguar F-Type,black,03/2016,2016,177900,423.0,575.0,Automatic,Petrol,11.3,269 g/km,4117.0,Project 7 LIMITIED 1 OF 250 AWD*KLAPPE*
bentley,Bentley Flying Spur,silver,04/2022,2022,278900,467.0,635.0,Automatic,Petrol,13.3,304 g/km,2656.0,New Flying Spur W12
maserati,Maserati GranTurismo,black,08/2019,2019,129683,338.0,460.0,Automatic,Petrol,14.3,331 g/km,2500.0,Sport *Facelift*
maserati,Maserati Ghibli,grey,11/2022,2022,109900,316.0,430.0,Automatic,Petrol,11.4,259 g/km,1000.0,Modena S Q4 MY22 *Maserati-IN*
land-rover,Land Rover Defender,black,05/2016,2016,109900,110.0,150.0,Manual,Diesel,10.0,265 g/km,1900.0,90 Autobiography
maserati,Maserati Ghibli,black,01/2023,2023,109333,316.0,430.0,Automatic,Petrol,11.9,275 g/km,30.0,"Modena S *Sonderleasing 1.249,-*"
bentley,Bentley Mulsanne,black,10/2019,2019,368500,377.0,513.0,Automatic,Petrol,15.9,350 g/km,950.0,W.O. EDITION -1 of 100-  BENTLEY BERLIN
ferrari,Ferrari 488,red,03/2018,2018,279900,492.0,669.0,Automatic,Petrol,11.4,260 g/km,13000.0,*NAVI*LIFT*Viel Carbon*JBL*RFK*LEDs
lamborghini,Lamborghini Huracan,green,10/2022,2022,409999,471.0,640.0,Unknown,Petrol,13.9,331 g/km,750.0,STO
bmw,BMW Z8,silver,02/2002,2002,224930,294.0,400.0,Manual,Petrol,14.9,358 g/km,76800.0,*deutsch*1.Hand*lückenlose Historie*unfallfrei*
aston-martin,Aston Martin V8,grey,09/2019,2019,129900,375.0,510.0,Automatic,Petrol,10.3,236 g/km,23350.0,4.0/Aston Martín Memmingen
aston-martin,Aston Martin V8,grey,11/2018,2018,124990,375.0,510.0,Automatic,Petrol,10.3,236 g/km,14100.0,4.0*V8*ALCANTARA*LED*360*LEDER*2.HAND
bentley,Bentley Flying Spur,black,01/2020,2020,234700,467.0,635.0,Automatic,Petrol,5.1,304 g/km,19190.0,W12 FIRST EDITION NAIM PANO MULLI 22
lamborghini,Lamborghini Huracan,black,01/2023,2023,369900,471.0,640.0,Automatic,Petrol,11.7,225 g/km,390.0,EVO Spyder | LIFT | SENSONUM | SOFORT
bentley,Bentley Bentayga,blue,10/2017,2017,124900,320.0,435.0,Automatic,Diesel,5.1,119 g/km,101416.0,V8 Diesel
ferrari,Ferrari Roma,blue,03/2023,2023,236900,456.0,620.0,Automatic,Petrol,5.1,119 g/km,17500.0,F 164 **MWST ausweisbar**1. Hand**
aston-martin,Aston Martin V8,grey,02/2021,2021,159900,375.0,510.0,Automatic,Petrol,10.3,236 g/km,12800.0,Cabriolet ++1.Hand++
jaguar,Jaguar F-Type,green,03/2023,2023,124422,423.0,575.0,Automatic,Petrol,10.9,249 g/km,1635.0,R COUPÉ P575 AWD MY23 GAR 2028 APPROVED
